dependency,window,target_space,model,MAE,RMSE,R2,n_test
corr_BTC-USD_^GSPC,14,fisher_z,AR1,0.09081146715780257,0.143316495095708,0.852290276425914,2150
corr_BTC-USD_^GSPC,14,fisher_z,Naive_Last,0.08882298120207492,0.14544583456412022,0.8478684451305413,2150
corr_BTC-USD_^GSPC,14,fisher_z,Ridge,0.139711483809957,0.19166699057720077,0.7358130409441196,2150
corr_BTC-USD_^GSPC,14,fisher_z,ElasticNet,0.13969848961604595,0.19198931234854744,0.7349237400957569,2150
corr_BTC-USD_^GSPC,14,fisher_z,RF,0.14788165325189956,0.20150921065781519,0.7079840780049277,2150
corr_BTC-USD_^GSPC,14,fisher_z,GBM,0.15136640985786254,0.20481000031725674,0.6983390846079269,2150
corr_BTC-USD_^GSPC,14,fisher_z,XGB_GPU,0.16103191930563582,0.21334479726996605,0.672673745579356,2150
corr_BTC-USD_^GSPC,14,fisher_z,DCC_GARCH,0.28932651554602884,0.36339116019349865,0.050345905411559144,2150
corr_BTC-USD_^GSPC,30,fisher_z,AR1,0.03899033730585004,0.06503507459495102,0.938645662596526,2134
corr_BTC-USD_^GSPC,30,fisher_z,Naive_Last,0.03840973934822277,0.06533168779556472,0.9380847343113268,2134
corr_BTC-USD_^GSPC,30,fisher_z,Ridge,0.06107548335317228,0.08933100287416817,0.8842410965684919,2134
corr_BTC-USD_^GSPC,30,fisher_z,ElasticNet,0.06210275864568788,0.09006463883833266,0.8823319358681609,2134
corr_BTC-USD_^GSPC,30,fisher_z,RF,0.06717652773410354,0.09769549006735978,0.8615480692671942,2134
corr_BTC-USD_^GSPC,30,fisher_z,GBM,0.07027281617589885,0.1005757515134616,0.853264040044923,2134
corr_BTC-USD_^GSPC,30,fisher_z,XGB_GPU,0.07250185800871364,0.10282358641412763,0.8466317435993274,2134
corr_BTC-USD_^GSPC,30,fisher_z,DCC_GARCH,0.176552626733812,0.21932098161246277,0.30223312749644693,2134
corr_BTC-USD_^GSPC,60,fisher_z,AR1,0.018009855894532245,0.03211220951726038,0.9745825432783743,2104
corr_BTC-USD_^GSPC,60,fisher_z,Naive_Last,0.01776769480416135,0.03214636366531291,0.9745284471417706,2104
corr_BTC-USD_^GSPC,60,fisher_z,Ridge,0.029341055318204256,0.04515267331173298,0.9497473866481698,2104
corr_BTC-USD_^GSPC,60,fisher_z,ElasticNet,0.03063468001368362,0.046155316066171986,0.947490827535868,2104
corr_BTC-USD_^GSPC,60,fisher_z,GBM,0.03722537300249329,0.05570616311795782,0.923511136448704,2104
corr_BTC-USD_^GSPC,60,fisher_z,RF,0.03663114829737833,0.05645292811203041,0.9214466589749003,2104
corr_BTC-USD_^GSPC,60,fisher_z,XGB_GPU,0.038659260106986885,0.05760376272798362,0.9182112782114479,2104
corr_BTC-USD_^GSPC,60,fisher_z,DCC_GARCH,0.12299726907910324,0.1482892767596553,0.45798512008035597,2104
corr_BTC-USD_^GSPC,90,fisher_z,AR1,0.011965211612726269,0.02216652224844706,0.984447806142018,2074
corr_BTC-USD_^GSPC,90,fisher_z,Naive_Last,0.011833753378413223,0.02217300866550438,0.9844387029751827,2074
corr_BTC-USD_^GSPC,90,fisher_z,Ridge,0.020041545059253523,0.03198010650238203,0.9676289825145388,2074
corr_BTC-USD_^GSPC,90,fisher_z,ElasticNet,0.02134758532473671,0.0330959139891694,0.9653306820903106,2074
corr_BTC-USD_^GSPC,90,fisher_z,RF,0.025200458712894006,0.038328160087540836,0.9535021917181592,2074
corr_BTC-USD_^GSPC,90,fisher_z,GBM,0.026401928764515983,0.04074443648582981,0.9474547853761897,2074
corr_BTC-USD_^GSPC,90,fisher_z,XGB_GPU,0.028936413103123667,0.04296215938505657,0.9415790327902125,2074
corr_BTC-USD_^GSPC,90,fisher_z,DCC_GARCH,0.09411585403242086,0.11626550655508429,0.5721433217310554,2074
corr_BTC-USD_^IXIC,14,fisher_z,AR1,0.09059371816283733,0.14119684343435185,0.8560582665840425,2150
corr_BTC-USD_^IXIC,14,fisher_z,Naive_Last,0.08865261691184387,0.14320048776481678,0.8519440902545232,2150
corr_BTC-USD_^IXIC,14,fisher_z,Ridge,0.13657622633167646,0.1873573372054552,0.7465582471815532,2150
corr_BTC-USD_^IXIC,14,fisher_z,ElasticNet,0.136991291823544,0.18864294102327317,0.7430681937777271,2150
corr_BTC-USD_^IXIC,14,fisher_z,RF,0.1456246131679562,0.19895698403198422,0.7142046683581814,2150
corr_BTC-USD_^IXIC,14,fisher_z,GBM,0.1482818394313944,0.2008267920475406,0.7088075873636499,2150
corr_BTC-USD_^IXIC,14,fisher_z,XGB_GPU,0.1528398048216187,0.20566458161125303,0.6946093294914256,2150
corr_BTC-USD_^IXIC,14,fisher_z,DCC_GARCH,0.2916923741577685,0.3667422063442935,0.028912107227270112,2150
corr_BTC-USD_^IXIC,30,fisher_z,AR1,0.038545230877358,0.0633680930210067,0.9413218624926519,2134
corr_BTC-USD_^IXIC,30,fisher_z,Naive_Last,0.038034245607897935,0.06363122865088328,0.9408335294584583,2134
corr_BTC-USD_^IXIC,30,fisher_z,Ridge,0.05968887092458646,0.08672432986790826,0.8900951266195473,2134
corr_BTC-USD_^IXIC,30,fisher_z,ElasticNet,0.060872186138913154,0.08754479243068407,0.8880057618952154,2134
corr_BTC-USD_^IXIC,30,fisher_z,RF,0.06882249611410779,0.09962584746509477,0.8549629017088912,2134
corr_BTC-USD_^IXIC,30,fisher_z,GBM,0.07008718543747722,0.10131712492836945,0.849996718595037,2134
corr_BTC-USD_^IXIC,30,fisher_z,XGB_GPU,0.0724077524559669,0.10322693051955315,0.8442883623612387,2134
corr_BTC-USD_^IXIC,30,fisher_z,DCC_GARCH,0.17208478703695532,0.21862738390947856,0.3015357840780897,2134
corr_BTC-USD_^IXIC,60,fisher_z,AR1,0.017801809986297358,0.03096270291146041,0.9759570854312426,2104
corr_BTC-USD_^IXIC,60,fisher_z,Naive_Last,0.017566318068659974,0.03099621036385707,0.9759050193870119,2104
corr_BTC-USD_^IXIC,60,fisher_z,Ridge,0.028696921034221477,0.043325475480926724,0.9529243790696661,2104
corr_BTC-USD_^IXIC,60,fisher_z,ElasticNet,0.02984060582406518,0.04420447595869072,0.9509948328743527,2104
corr_BTC-USD_^IXIC,60,fisher_z,GBM,0.03566126409299016,0.052133648918532526,0.9318374816260706,2104
corr_BTC-USD_^IXIC,60,fisher_z,RF,0.034826789102139495,0.05251443398628254,0.9308381248350728,2104
corr_BTC-USD_^IXIC,60,fisher_z,XGB_GPU,0.038108246347718415,0.05655679916982534,0.9197806706189038,2104
corr_BTC-USD_^IXIC,60,fisher_z,DCC_GARCH,0.1189277332202235,0.14599918756475597,0.465423011604884,2104
corr_BTC-USD_^IXIC,90,fisher_z,AR1,0.011614637176394903,0.02109037995000322,0.9861979864638529,2074
corr_BTC-USD_^IXIC,90,fisher_z,Naive_Last,0.011516154101409,0.02109641123496557,0.9861900913211717,2074
corr_BTC-USD_^IXIC,90,fisher_z,Ridge,0.019374661294294847,0.030422311210257822,0.9712817447722492,2074
corr_BTC-USD_^IXIC,90,fisher_z,ElasticNet,0.020692487241756333,0.0314798134355632,0.9692505082961126,2074
corr_BTC-USD_^IXIC,90,fisher_z,RF,0.02533536692277309,0.03905260367389471,0.9526768517062778,2074
corr_BTC-USD_^IXIC,90,fisher_z,GBM,0.02659261425526641,0.04096379964343621,0.947931614919131,2074
corr_BTC-USD_^IXIC,90,fisher_z,XGB_GPU,0.028208758204714968,0.04235439029071809,0.9443365000437753,2074
corr_BTC-USD_^IXIC,90,fisher_z,DCC_GARCH,0.09266352282284467,0.11772972058229658,0.5699233462202061,2074
corr_BTC-USD_GLD,14,fisher_z,AR1,0.08893744908477018,0.14204551947853858,0.8614590358706661,2150
corr_BTC-USD_GLD,14,fisher_z,Naive_Last,0.08610753513737825,0.14452733881671695,0.8565755678680296,2150
corr_BTC-USD_GLD,14,fisher_z,Ridge,0.13785480377724033,0.19323561087163163,0.7436121410205517,2150
corr_BTC-USD_GLD,14,fisher_z,ElasticNet,0.13754767270988644,0.19353238480846427,0.7428240081978936,2150
corr_BTC-USD_GLD,14,fisher_z,RF,0.14460830325622445,0.20106556653020427,0.7224133788073193,2150
corr_BTC-USD_GLD,14,fisher_z,GBM,0.1506354952788746,0.2064827294630241,0.7072542547662657,2150
corr_BTC-USD_GLD,14,fisher_z,XGB_GPU,0.15230698055299305,0.20797941775860204,0.7029949436681951,2150
corr_BTC-USD_GLD,14,fisher_z,DCC_GARCH,0.28152519525392905,0.36046124520329986,0.10784506094674173,2150
corr_BTC-USD_GLD,30,fisher_z,AR1,0.03833789498717986,0.06619452572869786,0.93692815622779,2134
corr_BTC-USD_GLD,30,fisher_z,Naive_Last,0.037459317878884964,0.06668244789837699,0.9359949198554047,2134
corr_BTC-USD_GLD,30,fisher_z,ElasticNet,0.06209553353542562,0.0919252195617814,0.8783643924237257,2134
corr_BTC-USD_GLD,30,fisher_z,Ridge,0.061878547724622916,0.0920025259577278,0.8781597224888261,2134
corr_BTC-USD_GLD,30,fisher_z,XGB_GPU,0.07267827717123815,0.10187044548285298,0.8506216053565439,2134
corr_BTC-USD_GLD,30,fisher_z,RF,0.07109609725104775,0.10188849254605958,0.8505686738098005,2134
corr_BTC-USD_GLD,30,fisher_z,GBM,0.07147425515350203,0.10242366757163635,0.8489947582420061,2134
corr_BTC-USD_GLD,30,fisher_z,DCC_GARCH,0.18724377220511473,0.23287330656115568,0.21939595642663912,2134
corr_BTC-USD_GLD,60,fisher_z,AR1,0.018282711635152934,0.03452384863227784,0.9704732726263708,2104
corr_BTC-USD_GLD,60,fisher_z,Naive_Last,0.018023237410834683,0.034640052727650146,0.9702741696174029,2104
corr_BTC-USD_GLD,60,fisher_z,Ridge,0.03115132329558458,0.04851402330429225,0.9416942358559518,2104
corr_BTC-USD_GLD,60,fisher_z,ElasticNet,0.03190682729468226,0.048744072876849905,0.9411399623739383,2104
corr_BTC-USD_GLD,60,fisher_z,RF,0.036128367580801915,0.05346892828722129,0.9291760955643558,2104
corr_BTC-USD_GLD,60,fisher_z,GBM,0.03675480000093762,0.05393126854659934,0.9279459862806891,2104
corr_BTC-USD_GLD,60,fisher_z,XGB_GPU,0.03890791644897512,0.05566183732968102,0.9232475968919328,2104
corr_BTC-USD_GLD,60,fisher_z,DCC_GARCH,0.12359767339009078,0.1546671265401656,0.4073845894841934,2104
corr_BTC-USD_GLD,90,fisher_z,AR1,0.011714183334485965,0.023265723883440635,0.9817392705357988,2074
corr_BTC-USD_GLD,90,fisher_z,Naive_Last,0.011579687963471004,0.023308732201129008,0.9816716956640771,2074
corr_BTC-USD_GLD,90,fisher_z,Ridge,0.02052365562979895,0.03324743541237696,0.9627092356495703,2074
corr_BTC-USD_GLD,90,fisher_z,ElasticNet,0.021303755651418392,0.03370019491435181,0.9616866780844621,2074
corr_BTC-USD_GLD,90,fisher_z,RF,0.02468946264599316,0.03750044009933971,0.9525585764375366,2074
corr_BTC-USD_GLD,90,fisher_z,GBM,0.026301924089700342,0.039273597683676185,0.9479661025114213,2074
corr_BTC-USD_GLD,90,fisher_z,XGB_GPU,0.027122921621544522,0.0398862490104332,0.9463300271440606,2074
corr_BTC-USD_GLD,90,fisher_z,DCC_GARCH,0.0977133623974291,0.12941628963729734,0.4349812343040729,2074
corr_BTC-USD_SLV,14,fisher_z,AR1,0.09015389404390176,0.14255138858725833,0.850770663978119,2150
corr_BTC-USD_SLV,14,fisher_z,Naive_Last,0.08704993510237387,0.14512391949586367,0.8453359775545493,2150
corr_BTC-USD_SLV,14,fisher_z,Ridge,0.1405468300360099,0.1951901353378505,0.7202133213367765,2150
corr_BTC-USD_SLV,14,fisher_z,ElasticNet,0.14110061169832405,0.19595738235779123,0.7180094456632813,2150
corr_BTC-USD_SLV,14,fisher_z,RF,0.14963858873977853,0.2040130424029389,0.6943480524947281,2150
corr_BTC-USD_SLV,14,fisher_z,GBM,0.15404533382185548,0.20827892859325553,0.6814321295751707,2150
corr_BTC-USD_SLV,14,fisher_z,XGB_GPU,0.15913899247445681,0.21286435932543699,0.6672506572045079,2150
corr_BTC-USD_SLV,14,fisher_z,DCC_GARCH,0.30061031636362756,0.3776106269038855,-0.04712786879751474,2150
corr_BTC-USD_SLV,30,fisher_z,AR1,0.037518978752042145,0.061576077543436254,0.9424704922991616,2134
corr_BTC-USD_SLV,30,fisher_z,Naive_Last,0.03668888031668586,0.061920968029152895,0.9418242365811844,2134
corr_BTC-USD_SLV,30,fisher_z,Ridge,0.0616875895038443,0.08717366889418127,0.8846978870619205,2134
corr_BTC-USD_SLV,30,fisher_z,ElasticNet,0.0620919531881345,0.08749250131866042,0.8838529236647229,2134
corr_BTC-USD_SLV,30,fisher_z,RF,0.07105752057008702,0.09825528206624468,0.8535199666450036,2134
corr_BTC-USD_SLV,30,fisher_z,XGB_GPU,0.07609100164701876,0.10267930531771009,0.8400322411987249,2134
corr_BTC-USD_SLV,30,fisher_z,GBM,0.07501336739526716,0.10355753071153248,0.8372841012546752,2134
corr_BTC-USD_SLV,30,fisher_z,DCC_GARCH,0.21198356583839142,0.26163079888729546,-0.03859051335261987,2134
corr_BTC-USD_SLV,60,fisher_z,AR1,0.01772487197619227,0.031350299465145545,0.9741515639636696,2104
corr_BTC-USD_SLV,60,fisher_z,Naive_Last,0.017355505787927293,0.031411110112656175,0.9740511895085785,2104
corr_BTC-USD_SLV,60,fisher_z,Ridge,0.029933947825885064,0.0448946559295884,0.9469921513125367,2104
corr_BTC-USD_SLV,60,fisher_z,ElasticNet,0.031120500090406567,0.0456723640784929,0.9451397392026453,2104
corr_BTC-USD_SLV,60,fisher_z,RF,0.036259207680589337,0.053323628101964775,0.9252191726882022,2104
corr_BTC-USD_SLV,60,fisher_z,GBM,0.03792010862823981,0.05416932067604742,0.9228283719695597,2104
corr_BTC-USD_SLV,60,fisher_z,XGB_GPU,0.03962342776804836,0.055874480708548425,0.9178934349692867,2104
corr_BTC-USD_SLV,60,fisher_z,DCC_GARCH,0.1562599984279324,0.1982537964473142,-0.03369855448577197,2104
corr_BTC-USD_SLV,90,fisher_z,AR1,0.011380493024748924,0.02151361210954392,0.9832020374662745,2074
corr_BTC-USD_SLV,90,fisher_z,Naive_Last,0.011201515579445397,0.021537257109282157,0.9831650928484565,2074
corr_BTC-USD_SLV,90,fisher_z,Ridge,0.019859205207208703,0.03086772509671191,0.9654188694134658,2074
corr_BTC-USD_SLV,90,fisher_z,ElasticNet,0.020908724875895488,0.031887742572348624,0.963095655911405,2074
corr_BTC-USD_SLV,90,fisher_z,GBM,0.025781144417216486,0.03754219697972488,0.9488472121030583,2074
corr_BTC-USD_SLV,90,fisher_z,RF,0.025365981315129175,0.03772376141902509,0.9483512376249332,2074
corr_BTC-USD_SLV,90,fisher_z,XGB_GPU,0.02759199060813522,0.04023989241223712,0.9412316412700836,2074
corr_BTC-USD_SLV,90,fisher_z,DCC_GARCH,0.09285645072780328,0.11546805875123797,0.5161021759128266,2074
corr_BTC-USD_UUP,14,fisher_z,AR1,0.09255365685628705,0.145256395239074,0.8782584392901652,2150
corr_BTC-USD_UUP,14,fisher_z,Naive_Last,0.08975167105790838,0.14722964469246588,0.8749283531002523,2150
corr_BTC-USD_UUP,14,fisher_z,Ridge,0.14351504746049587,0.19984298026382016,0.7695662242660242,2150
corr_BTC-USD_UUP,14,fisher_z,ElasticNet,0.14382723614927792,0.2009135837125302,0.767090640518099,2150
corr_BTC-USD_UUP,14,fisher_z,RF,0.15365221369040796,0.2121772436604474,0.7402437851772978,2150
corr_BTC-USD_UUP,14,fisher_z,XGB_GPU,0.1636323862893357,0.2224711980646921,0.7144277997213779,2150
corr_BTC-USD_UUP,14,fisher_z,GBM,0.1609941782858796,0.22315241536562444,0.7126762510669798,2150
corr_BTC-USD_UUP,14,fisher_z,DCC_GARCH,0.3265979688865296,0.41804020928430596,-0.008334097684246755,2150
corr_BTC-USD_UUP,30,fisher_z,AR1,0.04052673397707797,0.06756198957794939,0.9454936951794645,2134
corr_BTC-USD_UUP,30,fisher_z,Naive_Last,0.04001433115080393,0.06787541519770277,0.9449868036934214,2134
corr_BTC-USD_UUP,30,fisher_z,ElasticNet,0.06569962012090635,0.0951491451228897,0.8918935362525804,2134
corr_BTC-USD_UUP,30,fisher_z,Ridge,0.06627293496107088,0.095475226401713,0.891151293150077,2134
corr_BTC-USD_UUP,30,fisher_z,RF,0.07517994714356531,0.10877148809132803,0.858722819076349,2134
corr_BTC-USD_UUP,30,fisher_z,GBM,0.07654429006824204,0.11052096790242302,0.8541416691326258,2134
corr_BTC-USD_UUP,30,fisher_z,XGB_GPU,0.08050027741998779,0.11407552739122083,0.8446086461052479,2134
corr_BTC-USD_UUP,30,fisher_z,DCC_GARCH,0.206704253495953,0.26934512556152385,0.13371634381963282,2134
corr_BTC-USD_UUP,60,fisher_z,AR1,0.019235055764681097,0.03433343125812725,0.9742620982244151,2104
corr_BTC-USD_UUP,60,fisher_z,Naive_Last,0.01890974807535894,0.03438986915937352,0.9741774118412265,2104
corr_BTC-USD_UUP,60,fisher_z,Ridge,0.03173421511157249,0.04821248388647555,0.9492474654826,2104
corr_BTC-USD_UUP,60,fisher_z,ElasticNet,0.032789350908015644,0.0488229123848662,0.9479541522937898,2104
corr_BTC-USD_UUP,60,fisher_z,RF,0.038651763683330315,0.05906486298779615,0.9238276904666662,2104
corr_BTC-USD_UUP,60,fisher_z,GBM,0.039934299601027554,0.060288070401016865,0.9206400309747179,2104
corr_BTC-USD_UUP,60,fisher_z,XGB_GPU,0.04237617696234654,0.0641833716864017,0.9100536017802576,2104
corr_BTC-USD_UUP,60,fisher_z,DCC_GARCH,0.1374047619847917,0.1754034534436855,0.3282386680276854,2104
corr_BTC-USD_UUP,90,fisher_z,AR1,0.0122230908004517,0.023285712624051057,0.9833618135019544,2074
corr_BTC-USD_UUP,90,fisher_z,Naive_Last,0.012006648861740762,0.02329765103076465,0.9833447485866975,2074
corr_BTC-USD_UUP,90,fisher_z,Ridge,0.02093587400264864,0.032193548734791126,0.9681972536447108,2074
corr_BTC-USD_UUP,90,fisher_z,ElasticNet,0.021991352455242502,0.03332220706644398,0.96592825013034,2074
corr_BTC-USD_UUP,90,fisher_z,RF,0.024153339883948837,0.03618212143224987,0.9598287843050286,2074
corr_BTC-USD_UUP,90,fisher_z,GBM,0.02553312118459526,0.038091892533378864,0.955476220628097,2074
corr_BTC-USD_UUP,90,fisher_z,XGB_GPU,0.026382445942135617,0.038617837729038984,0.9542382285399824,2074
corr_BTC-USD_UUP,90,fisher_z,DCC_GARCH,0.10053513828961218,0.13178508286697777,0.4670831781787328,2074
corr_BTC-USD_ETH-USD,14,fisher_z,AR1,0.10118455810802544,0.15605426063257807,0.881691775794435,2150
corr_BTC-USD_ETH-USD,14,fisher_z,Naive_Last,0.09866143855939527,0.15818792207642657,0.8784345064869999,2150
corr_BTC-USD_ETH-USD,14,fisher_z,Ridge,0.1454991967826722,0.20220202493553413,0.8013746498137962,2150
corr_BTC-USD_ETH-USD,14,fisher_z,ElasticNet,0.14630010065625113,0.2030571823565589,0.7996910354030669,2150
corr_BTC-USD_ETH-USD,14,fisher_z,RF,0.15578242152883112,0.213597094463454,0.7783568282228084,2150
corr_BTC-USD_ETH-USD,14,fisher_z,GBM,0.15988920478511678,0.21775252703639858,0.7696490103716151,2150
corr_BTC-USD_ETH-USD,14,fisher_z,XGB_GPU,0.16277705407163334,0.22169479171998824,0.7612328059916027,2150
corr_BTC-USD_ETH-USD,14,fisher_z,DCC_GARCH,0.3348627391504823,0.4279502759228212,0.11028626229189542,2150
corr_BTC-USD_ETH-USD,30,fisher_z,AR1,0.042034002701726414,0.07102956182579645,0.960901818717993,2134
corr_BTC-USD_ETH-USD,30,fisher_z,Naive_Last,0.04099122659067753,0.0711660301096876,0.9607514366168395,2134
corr_BTC-USD_ETH-USD,30,fisher_z,Ridge,0.06767980338024131,0.0999998973830256,0.9225043378326,2134
corr_BTC-USD_ETH-USD,30,fisher_z,ElasticNet,0.06798084651554334,0.10049046478796306,0.9217421351483266,2134
corr_BTC-USD_ETH-USD,30,fisher_z,RF,0.07781732018499585,0.114943133370807,0.8976131106833578,2134
corr_BTC-USD_ETH-USD,30,fisher_z,GBM,0.0812754848107773,0.11935097556018671,0.889609873439589,2134
corr_BTC-USD_ETH-USD,30,fisher_z,XGB_GPU,0.08327359651138105,0.12160255761504733,0.8854055186018266,2134
corr_BTC-USD_ETH-USD,30,fisher_z,DCC_GARCH,0.1968256662165848,0.25996003145301066,0.4762893007657355,2134
corr_BTC-USD_ETH-USD,60,fisher_z,Naive_Last,0.01933066519028335,0.036006931971951074,0.985283958112838,2104
corr_BTC-USD_ETH-USD,60,fisher_z,AR1,0.019813430290030444,0.036041164122180204,0.9852559634354396,2104
corr_BTC-USD_ETH-USD,60,fisher_z,Ridge,0.03307182830421084,0.0524316503208837,0.9687963186545098,2104
corr_BTC-USD_ETH-USD,60,fisher_z,ElasticNet,0.0341662312279807,0.053576022095876634,0.9674193526583401,2104
corr_BTC-USD_ETH-USD,60,fisher_z,RF,0.04112612019655843,0.060545945897872794,0.9583908431141368,2104
corr_BTC-USD_ETH-USD,60,fisher_z,GBM,0.0416814920866772,0.060593043175163785,0.9583260843540085,2104
corr_BTC-USD_ETH-USD,60,fisher_z,XGB_GPU,0.04390093499534073,0.06316938237966344,0.9547069006022049,2104
corr_BTC-USD_ETH-USD,60,fisher_z,DCC_GARCH,0.16943214765891812,0.2236474297186802,0.4322637802604786,2104
corr_BTC-USD_ETH-USD,90,fisher_z,Naive_Last,0.012776439993861893,0.02525282280363,0.9905326529674167,2074
corr_BTC-USD_ETH-USD,90,fisher_z,AR1,0.013046084228683674,0.0252890472867604,0.9905054721859605,2074
corr_BTC-USD_ETH-USD,90,fisher_z,Ridge,0.021812053366199714,0.03670633685230132,0.9799972122955176,2074
corr_BTC-USD_ETH-USD,90,fisher_z,ElasticNet,0.02333397770408986,0.03793215492856394,0.9786389072608671,2074
corr_BTC-USD_ETH-USD,90,fisher_z,XGB_GPU,0.030560883149885885,0.05009371077291475,0.9627458342914211,2074
corr_BTC-USD_ETH-USD,90,fisher_z,RF,0.030184453411303096,0.05334506945756562,0.9577528901486667,2074
corr_BTC-USD_ETH-USD,90,fisher_z,GBM,0.03207693590875093,0.058341516811115574,0.949468304987555,2074
corr_BTC-USD_ETH-USD,90,fisher_z,DCC_GARCH,0.15161915132854012,0.19473079343479208,0.4370397888721006,2074
